row_id,batch_id,table_name,clean_concept,clean_content_vi,primary_specialty_code,subspecialty_code,risk_class,emergency_action_code,routing_rationale_vi,citation_url,embedding_input_text
B01_SPEC_000011,B01,specialties,Bỏng,Chuyên khoa taxonomy: Bỏng. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.,B01-SPEC-11,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-11
[Khái niệm]: Bỏng
[Nội dung]: Chuyên khoa taxonomy: Bỏng. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_SPEC_000012,B01,specialties,Ung bướu,Chuyên khoa taxonomy: Ung bướu. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.,B01-SPEC-12,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-12
[Khái niệm]: Ung bướu
[Nội dung]: Chuyên khoa taxonomy: Ung bướu. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_SPEC_000013,B01,specialties,Phụ sản,Chuyên khoa taxonomy: Phụ sản. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.,B01-SPEC-13,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-13
[Khái niệm]: Phụ sản
[Nội dung]: Chuyên khoa taxonomy: Phụ sản. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_SPEC_000014,B01,specialties,Mắt,Chuyên khoa taxonomy: Mắt. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.,B01-SPEC-14,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-14
[Khái niệm]: Mắt
[Nội dung]: Chuyên khoa taxonomy: Mắt. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_SPEC_000015,B01,specialties,Tai mũi họng,Chuyên khoa taxonomy: Tai mũi họng. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.,B01-SPEC-15,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-15
[Khái niệm]: Tai mũi họng
[Nội dung]: Chuyên khoa taxonomy: Tai mũi họng. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_SPEC_000016,B01,specialties,Răng hàm mặt,Chuyên khoa taxonomy: Răng hàm mặt. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.,B01-SPEC-16,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-16
[Khái niệm]: Răng hàm mặt
[Nội dung]: Chuyên khoa taxonomy: Răng hàm mặt. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_SPEC_000017,B01,specialties,Phục hồi chức năng,Chuyên khoa taxonomy: Phục hồi chức năng. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.,B01-SPEC-17,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-17
[Khái niệm]: Phục hồi chức năng
[Nội dung]: Chuyên khoa taxonomy: Phục hồi chức năng. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_SPEC_000018,B01,specialties,Điện quang,Chuyên khoa taxonomy: Điện quang. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.,B01-SPEC-18,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-18
[Khái niệm]: Điện quang
[Nội dung]: Chuyên khoa taxonomy: Điện quang. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_SPEC_000019,B01,specialties,Y học hạt nhân,Chuyên khoa taxonomy: Y học hạt nhân. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.,B01-SPEC-19,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-19
[Khái niệm]: Y học hạt nhân
[Nội dung]: Chuyên khoa taxonomy: Y học hạt nhân. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_SPEC_000020,B01,specialties,Nội soi chẩn đoán can thiệp,Chuyên khoa taxonomy: Nội soi chẩn đoán can thiệp. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.,B01-SPEC-20,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-20
[Khái niệm]: Nội soi chẩn đoán can thiệp
[Nội dung]: Chuyên khoa taxonomy: Nội soi chẩn đoán can thiệp. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_SPEC_000021,B01,specialties,Thăm dò chức năng,Chuyên khoa taxonomy: Thăm dò chức năng. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.,B01-SPEC-21,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-21
[Khái niệm]: Thăm dò chức năng
[Nội dung]: Chuyên khoa taxonomy: Thăm dò chức năng. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_SPEC_000022,B01,specialties,Huyết học truyền máu,Chuyên khoa taxonomy: Huyết học truyền máu. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.,B01-SPEC-22,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-22
[Khái niệm]: Huyết học truyền máu
[Nội dung]: Chuyên khoa taxonomy: Huyết học truyền máu. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_SPEC_000023,B01,specialties,Hóa sinh,Chuyên khoa taxonomy: Hóa sinh. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.,B01-SPEC-23,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-23
[Khái niệm]: Hóa sinh
[Nội dung]: Chuyên khoa taxonomy: Hóa sinh. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_SPEC_000024,B01,specialties,Vi sinh - ký sinh trùng,Chuyên khoa taxonomy: Vi sinh - ký sinh trùng. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.,B01-SPEC-24,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-24
[Khái niệm]: Vi sinh - ký sinh trùng
[Nội dung]: Chuyên khoa taxonomy: Vi sinh - ký sinh trùng. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_SPEC_000025,B01,specialties,Giải phẫu bệnh,Chuyên khoa taxonomy: Giải phẫu bệnh. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.,B01-SPEC-25,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-25
[Khái niệm]: Giải phẫu bệnh
[Nội dung]: Chuyên khoa taxonomy: Giải phẫu bệnh. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_SPEC_000026,B01,specialties,Vi phẫu,Chuyên khoa taxonomy: Vi phẫu. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.,B01-SPEC-26,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-26
[Khái niệm]: Vi phẫu
[Nội dung]: Chuyên khoa taxonomy: Vi phẫu. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_SPEC_000027,B01,specialties,Phẫu thuật nội soi,Chuyên khoa taxonomy: Phẫu thuật nội soi. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.,B01-SPEC-27,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-27
[Khái niệm]: Phẫu thuật nội soi
[Nội dung]: Chuyên khoa taxonomy: Phẫu thuật nội soi. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_SPEC_000028,B01,specialties,Phẫu thuật tạo hình thẩm mỹ,Chuyên khoa taxonomy: Phẫu thuật tạo hình thẩm mỹ. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.,B01-SPEC-28,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-28
[Khái niệm]: Phẫu thuật tạo hình thẩm mỹ
[Nội dung]: Chuyên khoa taxonomy: Phẫu thuật tạo hình thẩm mỹ. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_ALIAS_000001,B01,specialty_aliases,Hồi sức cấp cứu và chống độc,"Bí danh dạng nguồn ""01. HỒI SỨC CẤP CỨU VÀ CHỐNG ĐỘC"" → Hồi sức cấp cứu và chống độc.",B01-SPEC-01,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-01
[Khái niệm]: Hồi sức cấp cứu và chống độc
[Nội dung]: Bí danh dạng nguồn ""01. HỒI SỨC CẤP CỨU VÀ CHỐNG ĐỘC"" → Hồi sức cấp cứu và chống độc.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_ALIAS_000002,B01,specialty_aliases,Hồi sức cấp cứu và chống độc,"Bí danh tìm kiếm không dấu ""hoi suc cap cuu va chong doc"" → Hồi sức cấp cứu và chống độc; biến đổi xác định từ nhãn nguồn.",B01-SPEC-01,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-01
[Khái niệm]: Hồi sức cấp cứu và chống độc
[Nội dung]: Bí danh tìm kiếm không dấu ""hoi suc cap cuu va chong doc"" → Hồi sức cấp cứu và chống độc; biến đổi xác định từ nhãn nguồn.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_ALIAS_000003,B01,specialty_aliases,Nội khoa,"Bí danh dạng nguồn ""02. NỘI KHOA"" → Nội khoa.",B01-SPEC-02,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-02
[Khái niệm]: Nội khoa
[Nội dung]: Bí danh dạng nguồn ""02. NỘI KHOA"" → Nội khoa.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_ALIAS_000004,B01,specialty_aliases,Nội khoa,"Bí danh tìm kiếm không dấu ""noi khoa"" → Nội khoa; biến đổi xác định từ nhãn nguồn.",B01-SPEC-02,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-02
[Khái niệm]: Nội khoa
[Nội dung]: Bí danh tìm kiếm không dấu ""noi khoa"" → Nội khoa; biến đổi xác định từ nhãn nguồn.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_ALIAS_000005,B01,specialty_aliases,Nhi khoa,"Bí danh dạng nguồn ""03. NHI KHOA"" → Nhi khoa.",B01-SPEC-03,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-03
[Khái niệm]: Nhi khoa
[Nội dung]: Bí danh dạng nguồn ""03. NHI KHOA"" → Nhi khoa.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_ALIAS_000006,B01,specialty_aliases,Nhi khoa,"Bí danh tìm kiếm không dấu ""nhi khoa"" → Nhi khoa; biến đổi xác định từ nhãn nguồn.",B01-SPEC-03,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-03
[Khái niệm]: Nhi khoa
[Nội dung]: Bí danh tìm kiếm không dấu ""nhi khoa"" → Nhi khoa; biến đổi xác định từ nhãn nguồn.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_ALIAS_000007,B01,specialty_aliases,Lao (ngoại lao),"Bí danh dạng nguồn ""04. LAO (NGOẠI LAO)"" → Lao (ngoại lao).",B01-SPEC-04,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-04
[Khái niệm]: Lao (ngoại lao)
[Nội dung]: Bí danh dạng nguồn ""04. LAO (NGOẠI LAO)"" → Lao (ngoại lao).
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_ALIAS_000008,B01,specialty_aliases,Lao (ngoại lao),"Bí danh tìm kiếm không dấu ""lao (ngoai lao)"" → Lao (ngoại lao); biến đổi xác định từ nhãn nguồn.",B01-SPEC-04,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-04
[Khái niệm]: Lao (ngoại lao)
[Nội dung]: Bí danh tìm kiếm không dấu ""lao (ngoai lao)"" → Lao (ngoại lao); biến đổi xác định từ nhãn nguồn.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_ALIAS_000009,B01,specialty_aliases,Da liễu,"Bí danh dạng nguồn ""05. DA LIỄU"" → Da liễu.",B01-SPEC-05,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-05
[Khái niệm]: Da liễu
[Nội dung]: Bí danh dạng nguồn ""05. DA LIỄU"" → Da liễu.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_ALIAS_000010,B01,specialty_aliases,Da liễu,"Bí danh tìm kiếm không dấu ""da lieu"" → Da liễu; biến đổi xác định từ nhãn nguồn.",B01-SPEC-05,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-05
[Khái niệm]: Da liễu
[Nội dung]: Bí danh tìm kiếm không dấu ""da lieu"" → Da liễu; biến đổi xác định từ nhãn nguồn.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_ALIAS_000011,B01,specialty_aliases,Tâm thần,"Bí danh dạng nguồn ""06. TÂM THẦN"" → Tâm thần.",B01-SPEC-06,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-06
[Khái niệm]: Tâm thần
[Nội dung]: Bí danh dạng nguồn ""06. TÂM THẦN"" → Tâm thần.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_ALIAS_000012,B01,specialty_aliases,Tâm thần,"Bí danh tìm kiếm không dấu ""tam than"" → Tâm thần; biến đổi xác định từ nhãn nguồn.",B01-SPEC-06,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-06
[Khái niệm]: Tâm thần
[Nội dung]: Bí danh tìm kiếm không dấu ""tam than"" → Tâm thần; biến đổi xác định từ nhãn nguồn.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_ALIAS_000013,B01,specialty_aliases,Nội tiết,"Bí danh dạng nguồn ""07. NỘI TIẾT"" → Nội tiết.",B01-SPEC-07,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-07
[Khái niệm]: Nội tiết
[Nội dung]: Bí danh dạng nguồn ""07. NỘI TIẾT"" → Nội tiết.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_ALIAS_000014,B01,specialty_aliases,Nội tiết,"Bí danh tìm kiếm không dấu ""noi tiet"" → Nội tiết; biến đổi xác định từ nhãn nguồn.",B01-SPEC-07,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-07
[Khái niệm]: Nội tiết
[Nội dung]: Bí danh tìm kiếm không dấu ""noi tiet"" → Nội tiết; biến đổi xác định từ nhãn nguồn.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_ALIAS_000015,B01,specialty_aliases,Y học cổ truyền,"Bí danh dạng nguồn ""08. Y HỌC CỔ TRUYỀN"" → Y học cổ truyền.",B01-SPEC-08,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-08
[Khái niệm]: Y học cổ truyền
[Nội dung]: Bí danh dạng nguồn ""08. Y HỌC CỔ TRUYỀN"" → Y học cổ truyền.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_ALIAS_000016,B01,specialty_aliases,Y học cổ truyền,"Bí danh tìm kiếm không dấu ""y hoc co truyen"" → Y học cổ truyền; biến đổi xác định từ nhãn nguồn.",B01-SPEC-08,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-08
[Khái niệm]: Y học cổ truyền
[Nội dung]: Bí danh tìm kiếm không dấu ""y hoc co truyen"" → Y học cổ truyền; biến đổi xác định từ nhãn nguồn.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_ALIAS_000017,B01,specialty_aliases,Gây mê hồi sức,"Bí danh dạng nguồn ""09. GÂY MÊ HỒI SỨC"" → Gây mê hồi sức.",B01-SPEC-09,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-09
[Khái niệm]: Gây mê hồi sức
[Nội dung]: Bí danh dạng nguồn ""09. GÂY MÊ HỒI SỨC"" → Gây mê hồi sức.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_ALIAS_000018,B01,specialty_aliases,Gây mê hồi sức,"Bí danh tìm kiếm không dấu ""gay me hoi suc"" → Gây mê hồi sức; biến đổi xác định từ nhãn nguồn.",B01-SPEC-09,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-09
[Khái niệm]: Gây mê hồi sức
[Nội dung]: Bí danh tìm kiếm không dấu ""gay me hoi suc"" → Gây mê hồi sức; biến đổi xác định từ nhãn nguồn.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_ALIAS_000019,B01,specialty_aliases,Ngoại khoa,"Bí danh dạng nguồn ""10. NGOẠI KHOA"" → Ngoại khoa.",B01-SPEC-10,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-10
[Khái niệm]: Ngoại khoa
[Nội dung]: Bí danh dạng nguồn ""10. NGOẠI KHOA"" → Ngoại khoa.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_ALIAS_000020,B01,specialty_aliases,Ngoại khoa,"Bí danh tìm kiếm không dấu ""ngoai khoa"" → Ngoại khoa; biến đổi xác định từ nhãn nguồn.",B01-SPEC-10,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-10
[Khái niệm]: Ngoại khoa
[Nội dung]: Bí danh tìm kiếm không dấu ""ngoai khoa"" → Ngoại khoa; biến đổi xác định từ nhãn nguồn.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
